judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Bacau,3. COMUNA,GURA VAII,2155,142,0.0659,0.0913,2840.0000,1093.5613,43100.0000,2840000.0000,3933561.3222,0.0765,0.1131,1655279.5708
Prahova,3. COMUNA,BERTEA,1381,124,0.0898,0.1291,2480.0000,1085.8019,27620.0000,2480000.0000,3565801.8627,0.1014,0.1477,2659968.9062
Alba,2. ORAS,CAMPENI,3184,433,0.1360,0.1530,8660.0000,1082.2262,63680.0000,8660000.0000,9742226.1609,0.1318,0.1631,0.0000
Mures,2. ORAS,MIERCUREA NIRAJULUI,2282,313,0.1372,0.1608,6260.0000,1080.0432,45640.0000,6260000.0000,7340043.1543,0.1368,0.1724,1980819.3092
Neamt,3. COMUNA,MARGINENI,1719,106,0.0617,0.0930,2120.0000,1076.2383,34380.0000,2120000.0000,3196238.3321,0.0640,0.0909,1064475.3504
Alba,3. COMUNA,JIDVEI,1972,153,0.0776,0.1049,3060.0000,1075.5420,39440.0000,3060000.0000,4135542.0315,0.0769,0.0979,0.0000
Iasi,3. COMUNA,RADUCANENI,2937,187,0.0637,0.0820,3740.0000,1074.9748,58740.0000,3740000.0000,4814974.7611,0.0628,0.1074,715062.3903
Prahova,3. COMUNA,SCORTENI,2508,414,0.1651,0.1864,8280.0000,1069.6574,50160.0000,8280000.0000,9349657.3745,0.1607,0.1989,6974531.6361
Hunedoara,3. COMUNA,GHELARI,1201,143,0.1191,0.1635,2860.0000,1066.4806,24020.0000,2860000.0000,3926480.6258,0.1230,0.1579,323679.9431
Sibiu,3. COMUNA,ROSIA,2395,361,0.1507,0.1729,7220.0000,1060.3530,47900.0000,7220000.0000,8280352.9914,0.1410,0.1823,0.0000
Bacau,3. COMUNA,HORGESTI,1833,111,0.0606,0.0895,2220.0000,1059.3921,36660.0000,2220000.0000,3279392.1468,0.0632,0.0944,1379999.0341
Dambovita,3. COMUNA,MANESTI,1907,187,0.0981,0.1258,3740.0000,1057.6896,38140.0000,3740000.0000,4797689.6125,0.0978,0.1312,4619215.6726
Harghita,3. COMUNA,PLAIESII DE JOS,1565,170,0.1086,0.1423,3400.0000,1055.2718,31300.0000,3400000.0000,4455271.8381,0.1103,0.1598,67875.6230
Dambovita,3. COMUNA,CORNESTI,3471,519,0.1495,0.1647,10380.0000,1052.8169,69420.0000,10380000.0000,11432816.9336,0.1476,0.2124,11007516.4145
Arges,3. COMUNA,CUCA,1228,71,0.0578,0.1005,1420.0000,1049.4606,24560.0000,1420000.0000,2469460.5943,0.0647,0.1166,0.0000
Ilfov,3. COMUNA,AFUMATI,3117,710,0.2278,0.2446,14200.0000,1046.7963,62340.0000,14200000.0000,15246796.3329,0.2105,0.2813,264531.5745
Maramures,2. ORAS,SALISTEA DE SUS,2083,210,0.1008,0.1259,4200.0000,1044.7473,41660.0000,4200000.0000,5244747.2999,0.1008,0.1245,0.0000
Arad,3. COMUNA,CRAIVA,1433,77,0.0537,0.0902,1540.0000,1044.1745,28660.0000,1540000.0000,2584174.5269,0.0569,0.1018,65818.3015
Tulcea,3. COMUNA,CHILIA VECHE,1182,100,0.0846,0.1287,2000.0000,1041.9416,23640.0000,2000000.0000,3041941.6185,0.0895,0.1374,609648.0894
Bistrita-Nasaud,3. COMUNA,MAIERU,2427,292,0.1203,0.1417,5840.0000,1040.0671,48540.0000,5840000.0000,6880067.0513,0.1144,0.1483,878540.1909
Arges,2. ORAS,TOPOLOVENI,4068,811,0.1994,0.2120,16220.0000,1030.1885,81360.0000,16220000.0000,17250188.4992,0.1654,0.2196,0.0000
Salaj,2. ORAS,SIMLEU SILVANIEI,7107,1460,0.2054,0.2127,29200.0000,1029.9559,142140.0000,29200000.0000,30229955.8927,0.2001,0.2389,0.0000
Brasov,3. COMUNA,HOGHIZ,2036,158,0.0776,0.1028,3160.0000,1024.3842,40720.0000,3160000.0000,4184384.2114,0.0723,0.1100,329089.3800
Sibiu,3. COMUNA,POIANA SIBIULUI,1201,121,0.1007,0.1433,2420.0000,1022.3791,24020.0000,2420000.0000,3442379.1392,0.0974,0.1557,0.0000
Hunedoara,1. MUNICIPIU,BRAD,7277,1414,0.1943,0.2013,28280.0000,1018.7899,145540.0000,28280000.0000,29298789.8646,0.1898,0.2216,2415249.5685
Harghita,3. COMUNA,SANSIMION,1377,128,0.0930,0.1299,2560.0000,1018.3654,27540.0000,2560000.0000,3578365.3578,0.1017,0.1557,54516.0401
Suceava,3. COMUNA,PREUTESTI,2566,313,0.1220,0.1418,6260.0000,1017.2625,51320.0000,6260000.0000,7277262.5314,0.1143,0.1557,7277262.5314
Galati,3. COMUNA,DRAGANESTI,2102,233,0.1108,0.1350,4660.0000,1017.1630,42040.0000,4660000.0000,5677162.9669,0.1081,0.1449,972.6186
Galati,3. COMUNA,SCHELA,1372,170,0.1239,0.1608,3400.0000,1011.6092,27440.0000,3400000.0000,4411609.1769,0.1214,0.1808,755.8024
Iasi,3. COMUNA,HOLBOCA,5145,1399,0.2719,0.2817,27980.0000,1011.5148,102900.0000,27980000.0000,28991514.7683,0.2373,0.3423,4305472.5885
Arad,3. COMUNA,SIMAND,1562,200,0.1280,0.1603,4000.0000,1007.9515,31240.0000,4000000.0000,5007951.4994,0.1242,0.1620,127551.3159
Galati,3. COMUNA,PISCU,1934,182,0.0941,0.1201,3640.0000,1007.0451,38680.0000,3640000.0000,4647045.0617,0.0941,0.1345,796.1376
Suceava,3. COMUNA,VULTURESTI,1503,119,0.0792,0.1126,2380.0000,1004.3258,30060.0000,2380000.0000,3384325.8017,0.0856,0.1150,3384325.8017
Tulcea,3. COMUNA,CERNA,1790,98,0.0547,0.0827,1960.0000,1000.6077,35800.0000,1960000.0000,2960607.6772,0.0575,0.0836,593347.6181
Caras-Severin,3. COMUNA,FARLIUG,1254,123,0.0981,0.1378,2460.0000,995.3301,25080.0000,2460000.0000,3455330.1223,0.1059,0.1498,672837.6884
