judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Bihor,3. COMUNA,ROSIORI,1354,112,0.0827,0.1143,2240.0000,855.4557,27080.0000,2240000.0000,3095455.7178,0.0769,0.1085,1457744.1379
Arges,3. COMUNA,CETATENI,1263,115,0.0911,0.1249,2300.0000,854.6923,25260.0000,2300000.0000,3154692.2607,0.0930,0.1412,0.0000
Timis,3. COMUNA,GOTTLOB,919,65,0.0707,0.1172,1300.0000,853.4792,18380.0000,1300000.0000,2153479.1693,0.0768,0.1072,625252.1161
Constanta,3. COMUNA,MIHAIL KOGALNICEANU,3420,542,0.1585,0.1710,10840.0000,853.1097,68400.0000,10840000.0000,11693109.7090,0.1593,0.2431,473218.8114
Covasna,3. COMUNA,DOBARLAU,1158,148,0.1278,0.1646,2960.0000,852.1908,23160.0000,2960000.0000,3812190.8311,0.1264,0.1573,64690.0715
Caras-Severin,3. COMUNA,TEREGOVA,1392,147,0.1056,0.1361,2940.0000,848.0631,27840.0000,2940000.0000,3788063.1284,0.1065,0.1477,737628.9814
Bacau,3. COMUNA,CORBASCA,1677,91,0.0543,0.0795,1820.0000,846.3472,33540.0000,1820000.0000,2666347.2328,0.0594,0.0859,1122023.9731
Botosani,2. ORAS,DARABANI,4603,318,0.0691,0.0783,6360.0000,846.1515,92060.0000,6360000.0000,7206151.4809,0.0616,0.1005,1603443.2358
Galati,1. MUNICIPIU,GALATI,114636,36810,0.3211,0.3215,736200.0000,843.3221,2292720.0000,736200000.0000,737043322.0556,0.2649,0.3442,126271.1806
Braila,3. COMUNA,SALCIA TUDOR,1259,40,0.0318,0.0653,800.0000,843.0060,25180.0000,800000.0000,1643005.9561,0.0397,0.0737,4649.6628
Galati,3. COMUNA,BALENI,1202,63,0.0524,0.0875,1260.0000,842.8026,24040.0000,1260000.0000,2102802.5521,0.0541,0.0906,360.2548
Olt,2. ORAS,PIATRA-OLT,2893,318,0.1099,0.1245,6360.0000,840.9767,57860.0000,6360000.0000,7200976.7247,0.1030,0.1463,654901.4759
Sibiu,3. COMUNA,PAUCA,942,55,0.0584,0.1028,1100.0000,836.5928,18840.0000,1100000.0000,1936592.8218,0.0669,0.1096,0.0000
Mures,3. COMUNA,VANATORI,1473,153,0.1039,0.1323,3060.0000,836.1313,29460.0000,3060000.0000,3896131.3307,0.1099,0.1494,1051428.7190
Bistrita-Nasaud,3. COMUNA,FELDRU,2131,272,0.1276,0.1472,5440.0000,833.2187,42620.0000,5440000.0000,6273218.6965,0.1300,0.1601,801049.5697
Neamt,3. COMUNA,ION CREANGA,2521,168,0.0666,0.0832,3360.0000,833.1460,50420.0000,3360000.0000,4193146.0500,0.0646,0.0893,1396485.5393
Iasi,3. COMUNA,SIRETEL,1384,33,0.0238,0.0539,660.0000,832.8279,27680.0000,660000.0000,1492827.8851,0.0268,0.0594,221696.9203
Hunedoara,3. COMUNA,BALSA,876,71,0.0811,0.1285,1420.0000,831.3065,17520.0000,1420000.0000,2251306.4633,0.0907,0.1300,185586.7423
Bistrita-Nasaud,3. COMUNA,CHIOCHIS,1496,128,0.0856,0.1132,2560.0000,828.3029,29920.0000,2560000.0000,3388302.8961,0.0844,0.1050,432664.4277
Botosani,3. COMUNA,COTUSCA,2237,82,0.0367,0.0551,1640.0000,824.8420,44740.0000,1640000.0000,2464841.9698,0.0363,0.0690,548452.8315
Buzau,3. COMUNA,CANESTI,610,32,0.0525,0.1196,640.0000,819.6422,12200.0000,640000.0000,1459642.1992,0.0673,0.1183,0.0000
Giurgiu,2. ORAS,BOLINTIN-VALE,3769,581,0.1542,0.1650,11620.0000,818.1407,75380.0000,11620000.0000,12438140.7268,0.1395,0.1733,52.6153
Arges,3. COMUNA,UNGHENI,1795,56,0.0312,0.0539,1120.0000,813.5983,35900.0000,1120000.0000,1933598.3257,0.0369,0.0663,0.0000
Prahova,3. COMUNA,ADUNATI,1089,101,0.0927,0.1301,2020.0000,813.2995,21780.0000,2020000.0000,2833299.5158,0.1028,0.1468,2113546.6591
Galati,3. COMUNA,TULUCESTI,2975,532,0.1788,0.1925,10640.0000,811.6581,59500.0000,10640000.0000,11451658.0807,0.1554,0.2477,1961.9123
Arad,3. COMUNA,SECUSIGIU,2030,214,0.1054,0.1254,4280.0000,809.8505,40600.0000,4280000.0000,5089850.5208,0.1053,0.1388,129637.2642
Timis,3. COMUNA,CHECEA,713,81,0.1136,0.1702,1620.0000,807.6830,14260.0000,1620000.0000,2427683.0027,0.1126,0.1643,704865.8544
Valcea,3. COMUNA,RACOVITA,871,98,0.1125,0.1589,1960.0000,807.5992,17420.0000,1960000.0000,2767599.1596,0.1137,0.1709,0.0000
Maramures,3. COMUNA,BOTIZA,1041,64,0.0615,0.1002,1280.0000,807.0945,20820.0000,1280000.0000,2087094.4773,0.0732,0.1016,0.0000
Sibiu,3. COMUNA,IACOBENI,1198,101,0.0843,0.1180,2020.0000,806.7431,23960.0000,2020000.0000,2826743.1242,0.0918,0.1394,0.0000
Dambovita,3. COMUNA,CIOCANESTI,2120,188,0.0887,0.1077,3760.0000,805.9081,42400.0000,3760000.0000,4565908.1007,0.0859,0.1237,4396056.4276
Arges,3. COMUNA,MIOARELE,1064,98,0.0921,0.1299,1960.0000,804.1423,21280.0000,1960000.0000,2764142.2691,0.1043,0.1462,0.0000
Dolj,2. ORAS,DABULENI,3912,277,0.0708,0.0810,5540.0000,799.2699,78240.0000,5540000.0000,6339269.8538,0.0653,0.0881,1747859.2858
Covasna,3. COMUNA,POIAN,851,82,0.0964,0.1433,1640.0000,798.4585,17020.0000,1640000.0000,2438458.5110,0.1087,0.1584,41378.8455
Mures,3. COMUNA,RACIU,2349,203,0.0864,0.1034,4060.0000,798.0137,46980.0000,4060000.0000,4858013.7444,0.0845,0.1164,1311006.9283
Olt,3. COMUNA,VITOMIRESTI,1369,91,0.0665,0.0955,1820.0000,795.1534,27380.0000,1820000.0000,2615153.4265,0.0693,0.1258,237838.2689
Valcea,3. COMUNA,STOILESTI,1899,115,0.0606,0.0815,2300.0000,794.4248,37980.0000,2300000.0000,3094424.7610,0.0653,0.0968,0.0000
Timis,2. ORAS,CIACOVA,2091,523,0.2501,0.2691,10460.0000,792.8850,41820.0000,10460000.0000,11252885.0118,0.2324,0.3112,3267219.9788
Alba,3. COMUNA,MOGOS,578,23,0.0398,0.1081,460.0000,789.2458,11560.0000,460000.0000,1249245.8205,0.0498,0.1133,0.0000
Caras-Severin,3. COMUNA,PRIGOR,1066,84,0.0788,0.1158,1680.0000,788.1878,21320.0000,1680000.0000,2468187.8165,0.0824,0.1255,480616.8227
Dambovita,3. COMUNA,VALEA LUNGA,2395,345,0.1441,0.1605,6900.0000,787.2863,47900.0000,6900000.0000,7687286.3350,0.1468,0.1799,7401319.4654
Constanta,2. ORAS,EFORIE,5358,1476,0.2755,0.2828,29520.0000,787.1550,107160.0000,29520000.0000,30307154.9700,0.2607,0.3278,1226527.0924
Bihor,3. COMUNA,DERNA,1173,88,0.0750,0.1086,1760.0000,786.7467,23460.0000,1760000.0000,2546746.7035,0.0747,0.1001,1199340.3932
Arad,3. COMUNA,SEPREUS,1059,58,0.0548,0.0919,1160.0000,786.5687,21180.0000,1160000.0000,1946568.7145,0.0631,0.0962,49578.6353
Cluj,3. COMUNA,POIENI,2714,454,0.1673,0.1818,9080.0000,786.4170,54280.0000,9080000.0000,9866417.0326,0.1629,0.1970,1917748.8652
Prahova,3. COMUNA,RAFOV,2069,228,0.1102,0.1292,4560.0000,785.7313,41380.0000,4560000.0000,5345731.2826,0.1042,0.1347,3987736.7111
Buzau,3. COMUNA,ZARNESTI,2154,248,0.1151,0.1333,4960.0000,784.5629,43080.0000,4960000.0000,5744562.9153,0.1116,0.1357,0.0000
Bistrita-Nasaud,3. COMUNA,NEGRILESTI,944,56,0.0593,0.1009,1120.0000,784.2718,18880.0000,1120000.0000,1904271.8435,0.0693,0.1013,243163.2332
Gorj,3. COMUNA,ALIMPESTI,1041,71,0.0682,0.1059,1420.0000,784.1179,20820.0000,1420000.0000,2204117.8902,0.0715,0.1157,607461.5216
Vrancea,3. COMUNA,CIORASTI,1790,181,0.1011,0.1230,3620.0000,783.0764,35800.0000,3620000.0000,4403076.4459,0.0939,0.1366,158.3184
Bistrita-Nasaud,3. COMUNA,CAIANU MIC,1519,136,0.0895,0.1153,2720.0000,781.9622,30380.0000,2720000.0000,3501962.2110,0.0873,0.1129,447177.9892
Timis,2. ORAS,FAGET,2596,604,0.2327,0.2477,12080.0000,779.6976,51920.0000,12080000.0000,12859697.6087,0.2126,0.2979,3733750.1365
Dambovita,3. COMUNA,BUCIUMENI,2095,254,0.1212,0.1398,5080.0000,776.7134,41900.0000,5080000.0000,5856713.4146,0.1227,0.1464,5638843.8143
Giurgiu,3. COMUNA,SINGURENI,1586,137,0.0864,0.1108,2740.0000,775.4064,31720.0000,2740000.0000,3515406.3675,0.0902,0.1356,14.8707
Calarasi,3. COMUNA,BORCEA,2847,249,0.0875,0.1011,4980.0000,774.1680,56940.0000,4980000.0000,5754167.9840,0.0843,0.1210,2293520.2548
Harghita,1. MUNICIPIU,MIERCUREA-CIUC,16774,4340,0.2587,0.2610,86800.0000,773.8792,335480.0000,86800000.0000,87573879.2095,0.2225,0.2786,1334179.3330
Mures,3. COMUNA,EREMITU,1677,203,0.1210,0.1441,4060.0000,773.2285,33540.0000,4060000.0000,4833228.4981,0.1221,0.1471,1304318.2626
Vrancea,3. COMUNA,NANESTI,1242,100,0.0805,0.1116,2000.0000,772.1178,24840.0000,2000000.0000,2772117.8091,0.0852,0.1128,99.6751
Giurgiu,3. COMUNA,CALUGARENI,3040,360,0.1184,0.1311,7200.0000,771.5297,60800.0000,7200000.0000,7971529.6815,0.1089,0.1504,33.7208
Vrancea,3. COMUNA,MAICANESTI,2168,271,0.1250,0.1427,5420.0000,766.6606,43360.0000,5420000.0000,6186660.6469,0.1174,0.1818,222.4495
Harghita,3. COMUNA,PRAID,3144,314,0.0999,0.1121,6280.0000,765.8640,62880.0000,6280000.0000,7045864.0414,0.0888,0.1148,107343.0374
Maramures,2. ORAS,CAVNIC,1953,261,0.1336,0.1532,5220.0000,764.6397,39060.0000,5220000.0000,5984639.7298,0.1282,0.1619,0.0000
Timis,3. COMUNA,PECIU NOU,2054,604,0.2941,0.3125,12080.0000,759.0976,41080.0000,12080000.0000,12839097.6465,0.2994,0.3875,3727769.0385
Sibiu,3. COMUNA,BOITA,693,66,0.0952,0.1498,1320.0000,756.5424,13860.0000,1320000.0000,2076542.3649,0.0983,0.1639,0.0000
Neamt,3. COMUNA,TAZLAU,1477,129,0.0873,0.1129,2580.0000,755.8981,29540.0000,2580000.0000,3335898.1196,0.0842,0.1244,1110987.6520
Bihor,3. COMUNA,BUDUSLAU,680,33,0.0485,0.1041,660.0000,755.6530,13600.0000,660000.0000,1415653.0247,0.0570,0.1398,666674.0170
Alba,3. COMUNA,BISTRA,1819,125,0.0687,0.0894,2500.0000,752.6053,36380.0000,2500000.0000,3252605.3261,0.0685,0.0932,0.0000
Cluj,3. COMUNA,MIHAI VITEAZU,2502,383,0.1531,0.1681,7660.0000,751.6514,50040.0000,7660000.0000,8411651.4044,0.1492,0.1852,1634984.0962
Ialomita,2. ORAS,FIERBINTI-TARG,2097,247,0.1178,0.1357,4940.0000,750.6550,41940.0000,4940000.0000,5690654.9877,0.1171,0.1508,536656.8963
Giurgiu,3. COMUNA,CLEJANI,1537,124,0.0807,0.1051,2480.0000,749.7904,30740.0000,2480000.0000,3229790.4108,0.0831,0.1204,13.6625
Maramures,3. COMUNA,CERNESTI,1608,123,0.0765,0.0998,2460.0000,748.5972,32160.0000,2460000.0000,3208597.2195,0.0826,0.1059,0.0000
Cluj,3. COMUNA,PANTICEU,1162,75,0.0645,0.0967,1500.0000,746.8851,23240.0000,1500000.0000,2246885.1182,0.0732,0.0959,436730.1090
Alba,3. COMUNA,LUPSA,1400,118,0.0843,0.1110,2360.0000,746.8735,28000.0000,2360000.0000,3106873.5480,0.0856,0.1115,0.0000
Bistrita-Nasaud,3. COMUNA,TEACA,2249,359,0.1596,0.1762,7180.0000,745.9423,44980.0000,7180000.0000,7925942.2504,0.1470,0.1763,1012091.7086
Vrancea,3. COMUNA,SLOBOZIA BRADULUI,1828,225,0.1231,0.1435,4500.0000,745.6847,36560.0000,4500000.0000,5245684.6751,0.1211,0.1556,188.6155
Sibiu,3. COMUNA,VURPAR,778,41,0.0527,0.1004,820.0000,742.6873,15560.0000,820000.0000,1562687.2753,0.0579,0.1204,0.0000
Suceava,3. COMUNA,MOLDOVITA,1869,270,0.1445,0.1643,5400.0000,741.6640,37380.0000,5400000.0000,6141663.9586,0.1373,0.1628,6141663.9586
Giurgiu,3. COMUNA,STANESTI,1685,121,0.0718,0.0938,2420.0000,739.4990,33700.0000,2420000.0000,3159499.0344,0.0742,0.1000,13.3652
Salaj,3. COMUNA,BOCSA,1303,186,0.1427,0.1711,3720.0000,738.7649,26060.0000,3720000.0000,4458764.8939,0.1486,0.1692,0.0000
Galati,3. COMUNA,FUNDENI,1572,148,0.0941,0.1176,2960.0000,737.2064,31440.0000,2960000.0000,3697206.3641,0.0921,0.1253,633.4100
Buzau,3. COMUNA,VADU PASII,3625,680,0.1876,0.1978,13600.0000,737.1298,72500.0000,13600000.0000,14337129.7967,0.1784,0.2260,0.0000
Dambovita,3. COMUNA,LUDESTI,2077,178,0.0857,0.1034,3560.0000,736.9142,41540.0000,3560000.0000,4296914.2131,0.0836,0.1135,4137069.1062
Arad,3. COMUNA,IRATOSU,1073,130,0.1212,0.1555,2600.0000,736.6421,21460.0000,2600000.0000,3336642.1043,0.1194,0.1495,84983.4690
Alba,3. COMUNA,ALBAC,999,70,0.0701,0.1069,1400.0000,735.6540,19980.0000,1400000.0000,2135654.0084,0.0739,0.1006,0.0000
Botosani,3. COMUNA,FRUMUSICA,2355,141,0.0599,0.0755,2820.0000,735.2049,47100.0000,2820000.0000,3555204.9124,0.0588,0.0764,791069.8635
Iasi,3. COMUNA,SCHITU DUCA,2319,155,0.0668,0.0827,3100.0000,735.1813,46380.0000,3100000.0000,3835181.2607,0.0647,0.1010,569555.1930
Cluj,3. COMUNA,ICLOD,1771,297,0.1677,0.1883,5940.0000,729.4526,35420.0000,5940000.0000,6669452.6168,0.1665,0.2097,1296350.5541
Bihor,3. COMUNA,DRAGESTI,1394,102,0.0732,0.0993,2040.0000,728.4383,27880.0000,2040000.0000,2768438.2784,0.0760,0.1051,1303741.6908
Botosani,3. COMUNA,VORNICENI,1631,47,0.0288,0.0511,940.0000,726.4004,32620.0000,940000.0000,1666400.4078,0.0324,0.0511,370791.3259
Neamt,3. COMUNA,URECHENI,1825,83,0.0455,0.0654,1660.0000,725.7845,36500.0000,1660000.0000,2385784.5070,0.0509,0.0755,794561.7739
Galati,3. COMUNA,BERESTI-MERIA,1779,98,0.0551,0.0754,1960.0000,724.3594,35580.0000,1960000.0000,2684359.4047,0.0560,0.0783,459.8878
Bistrita-Nasaud,3. COMUNA,SIEU-ODORHEI,1076,172,0.1599,0.1935,3440.0000,724.1476,21520.0000,3440000.0000,4164147.6103,0.1625,0.2076,531734.7940
Alba,3. COMUNA,ALMASU MARE,728,35,0.0481,0.0974,700.0000,718.7649,14560.0000,700000.0000,1418764.8721,0.0592,0.1067,0.0000
Arad,3. COMUNA,SINTEA MARE,1640,190,0.1159,0.1377,3800.0000,717.2649,32800.0000,3800000.0000,4517264.9012,0.1057,0.1298,115053.6467
Bihor,3. COMUNA,CURTUISENI,1322,96,0.0726,0.0995,1920.0000,711.3399,26440.0000,1920000.0000,2631339.9110,0.0753,0.1056,1239177.9045
Cluj,3. COMUNA,FELEACU,2622,752,0.2868,0.3004,15040.0000,710.3964,52440.0000,15040000.0000,15750396.4404,0.2552,0.3534,3061425.9259
Arges,3. COMUNA,CALDARARU,1485,46,0.0310,0.0547,920.0000,703.3639,29700.0000,920000.0000,1623363.9034,0.0368,0.0587,0.0000
Gorj,3. COMUNA,GODINESTI,1501,131,0.0873,0.1107,2620.0000,703.3348,30020.0000,2620000.0000,3323334.8081,0.0914,0.1197,915921.0713
Suceava,2. ORAS,SIRET,3416,622,0.1821,0.1924,12440.0000,702.5912,68320.0000,12440000.0000,13142591.1680,0.1567,0.1976,13142591.1680
Suceava,3. COMUNA,POIENI-SOLCA,796,56,0.0704,0.1143,1120.0000,700.4053,15920.0000,1120000.0000,1820405.2610,0.0857,0.1295,1820405.2610
Caras-Severin,3. COMUNA,VERMES,621,52,0.0837,0.1401,1040.0000,700.2880,12420.0000,1040000.0000,1740287.9538,0.0947,0.1346,338876.8316
Ialomita,2. ORAS,TANDAREI,4435,506,0.1141,0.1220,10120.0000,700.1214,88700.0000,10120000.0000,10820121.4449,0.1138,0.1558,1020390.9400
Olt,3. COMUNA,VALENI,1651,62,0.0376,0.0587,1240.0000,697.4217,33020.0000,1240000.0000,1937421.7004,0.0450,0.0593,176201.1432
Timis,3. COMUNA,VALCANI,578,28,0.0484,0.1087,560.0000,696.0538,11560.0000,560000.0000,1256053.7876,0.0583,0.1074,364689.0575
Sibiu,3. COMUNA,SEICA MARE,1854,171,0.0922,0.1110,3420.0000,695.4131,37080.0000,3420000.0000,4115413.1082,0.0891,0.1179,0.0000
Bihor,3. COMUNA,CIUMEGHIU,1671,157,0.0940,0.1147,3140.0000,694.4754,33420.0000,3140000.0000,3834475.4355,0.0870,0.1205,1805770.9744
Iasi,3. COMUNA,FOCURI,1459,34,0.0233,0.0470,680.0000,691.6974,29180.0000,680000.0000,1371697.4339,0.0263,0.0504,203708.0763
Arges,3. COMUNA,UDA,1514,81,0.0535,0.0763,1620.0000,689.4474,30280.0000,1620000.0000,2309447.3526,0.0539,0.0820,0.0000
Prahova,3. COMUNA,MANESTI,1624,158,0.0973,0.1185,3160.0000,688.7710,32480.0000,3160000.0000,3848770.9633,0.0950,0.1199,2871054.3893
Mehedinti,3. COMUNA,JIANA,2179,92,0.0422,0.0579,1840.0000,685.3786,43580.0000,1840000.0000,2525378.6223,0.0425,0.0694,848658.3157
Gorj,3. COMUNA,URDARI,1190,54,0.0454,0.0741,1080.0000,683.3598,23800.0000,1080000.0000,1763359.8416,0.0564,0.0761,485987.2774
Hunedoara,3. COMUNA,PUI,1729,229,0.1324,0.1522,4580.0000,683.0369,34580.0000,4580000.0000,5263036.9245,0.1290,0.1579,433859.1361
Vrancea,3. COMUNA,VINTILEASCA,985,70,0.0711,0.1057,1400.0000,681.6842,19700.0000,1400000.0000,2081684.2023,0.0781,0.1188,74.8497
Gorj,3. COMUNA,SACELU,1108,117,0.1056,0.1362,2340.0000,677.7979,22160.0000,2340000.0000,3017797.8983,0.1101,0.1520,831714.1798
Olt,3. COMUNA,TOPANA,839,26,0.0310,0.0714,520.0000,677.7853,16780.0000,520000.0000,1197785.2706,0.0404,0.0825,108934.0199
Constanta,3. COMUNA,DOBROMIR,842,14,0.0166,0.0567,280.0000,674.8890,16840.0000,280000.0000,954889.0433,0.0206,0.0657,38644.2503
Neamt,3. COMUNA,RAUCESTI,3033,286,0.0943,0.1054,5720.0000,674.3711,60660.0000,5720000.0000,6394371.0736,0.0833,0.1150,2129581.6150
Alba,3. COMUNA,CETATEA DE BALTA,1133,72,0.0635,0.0933,1440.0000,673.9628,22660.0000,1440000.0000,2113962.7865,0.0661,0.0982,0.0000
Vaslui,3. COMUNA,TACUTA,1519,68,0.0448,0.0669,1360.0000,672.7784,30380.0000,1360000.0000,2032778.3971,0.0472,0.0735,68318.7860
Buzau,2. ORAS,POGOANELE,2715,268,0.0987,0.1111,5360.0000,670.6158,54300.0000,5360000.0000,6030615.8009,0.0899,0.1254,0.0000
Timis,3. COMUNA,TORMAC,1094,139,0.1271,0.1576,2780.0000,667.6750,21880.0000,2780000.0000,3447674.9641,0.1247,0.1544,1001015.5184
Valcea,3. COMUNA,STOENESTI,1941,255,0.1314,0.1486,5100.0000,666.8217,38820.0000,5100000.0000,5766821.6567,0.1262,0.1656,0.0000
Hunedoara,3. COMUNA,BLAJENI,688,53,0.0770,0.1254,1060.0000,665.9915,13760.0000,1060000.0000,1725991.4551,0.0846,0.1356,142282.3310
Arges,3. COMUNA,TIGVENI,1514,147,0.0971,0.1189,2940.0000,660.4748,30280.0000,2940000.0000,3600474.8071,0.0989,0.1274,0.0000
Arges,2. ORAS,MIOVENI,13564,3235,0.2385,0.2409,64700.0000,660.3990,271280.0000,64700000.0000,65360399.0071,0.2298,0.2659,0.0000
Tulcea,3. COMUNA,TURCOAIA,1352,97,0.0717,0.0961,1940.0000,659.6997,27040.0000,1940000.0000,2599699.6626,0.0672,0.0883,521016.5516
Neamt,3. COMUNA,GHINDAOANI,944,54,0.0572,0.0921,1080.0000,659.0573,18880.0000,1080000.0000,1739057.3124,0.0603,0.0952,579175.7215
Tulcea,3. COMUNA,STEJARU,723,30,0.0415,0.0868,600.0000,655.6084,14460.0000,600000.0000,1255608.4439,0.0458,0.0956,251641.6765
Dambovita,3. COMUNA,RAU ALB,1054,110,0.1044,0.1354,2200.0000,653.8871,21080.0000,2200000.0000,2853887.1364,0.1077,0.1458,2747722.6025
Prahova,3. COMUNA,VARBILAU,2816,497,0.1765,0.1881,9940.0000,653.7898,56320.0000,9940000.0000,10593789.8298,0.1682,0.1995,7902612.8290
Salaj,3. COMUNA,BANISOR,1133,146,0.1289,0.1577,2920.0000,653.7885,22660.0000,2920000.0000,3573788.4828,0.1314,0.1624,0.0000
Satu Mare,3. COMUNA,TARSOLT,918,55,0.0599,0.0955,1100.0000,653.6686,18360.0000,1100000.0000,1753668.5513,0.0650,0.1012,0.0000
Valcea,3. COMUNA,BERISLAVESTI,1376,187,0.1359,0.1596,3740.0000,652.8147,27520.0000,3740000.0000,4392814.6647,0.1297,0.1784,0.0000
Bihor,3. COMUNA,HOLOD,1557,116,0.0745,0.0955,2320.0000,652.8082,31140.0000,2320000.0000,2972808.2449,0.0774,0.1094,1399985.7168
Alba,2. ORAS,BAIA DE ARIES,1764,235,0.1332,0.1517,4700.0000,651.4134,35280.0000,4700000.0000,5351413.3594,0.1345,0.1668,0.0000
Arges,3. COMUNA,RECEA,1606,64,0.0399,0.0601,1280.0000,650.9474,32120.0000,1280000.0000,1930947.4069,0.0437,0.0673,0.0000
Ialomita,3. COMUNA,AXINTELE,1385,105,0.0758,0.0993,2100.0000,650.7018,27700.0000,2100000.0000,2750701.7606,0.0815,0.1210,259404.7737
Salaj,3. COMUNA,IP,1443,203,0.1407,0.1630,4060.0000,643.4772,28860.0000,4060000.0000,4703477.2367,0.1446,0.1715,0.0000
Buzau,3. COMUNA,BERCA,3938,772,0.1960,0.2042,15440.0000,643.2272,78760.0000,15440000.0000,16083227.1782,0.1950,0.2722,0.0000
Buzau,3. COMUNA,SAHATENI,1324,130,0.0982,0.1224,2600.0000,639.8903,26480.0000,2600000.0000,3239890.2749,0.0966,0.1234,0.0000
Arad,3. COMUNA,FELNAC,1118,136,0.1216,0.1503,2720.0000,639.6956,22360.0000,2720000.0000,3359695.5907,0.1140,0.1471,85570.6358
Vrancea,3. COMUNA,GURA CALITEI,1265,110,0.0870,0.1122,2200.0000,638.7379,25300.0000,2200000.0000,2838737.8986,0.0902,0.1142,102.0705
Salaj,3. COMUNA,MARCA,1158,134,0.1157,0.1433,2680.0000,638.2999,23160.0000,2680000.0000,3318299.8546,0.1180,0.1574,0.0000
Cluj,3. COMUNA,IARA,2323,211,0.0908,0.1044,4220.0000,632.0779,46460.0000,4220000.0000,4852077.8833,0.0834,0.1037,943104.9614
Arges,3. COMUNA,COSESTI,2145,236,0.1100,0.1248,4720.0000,631.8253,42900.0000,4720000.0000,5351825.3449,0.1097,0.1385,0.0000
Neamt,3. COMUNA,GRUMAZESTI,2167,241,0.1112,0.1257,4820.0000,629.9785,43340.0000,4820000.0000,5449978.4934,0.1092,0.1314,1815061.0698
Timis,3. COMUNA,JAMU MARE,1318,164,0.1244,0.1483,3280.0000,629.1058,26360.0000,3280000.0000,3909105.7846,0.1216,0.1569,1134989.6942
Bacau,3. COMUNA,PARJOL,2762,288,0.1043,0.1157,5760.0000,628.9240,55240.0000,5760000.0000,6388923.9631,0.0997,0.1234,2688519.2449
Bihor,3. COMUNA,BOROD,1825,205,0.1123,0.1295,4100.0000,628.2464,36500.0000,4100000.0000,4728246.4314,0.1098,0.1398,2226674.8892
Cluj,3. COMUNA,CAPUSU MARE,1849,296,0.1601,0.1769,5920.0000,621.4026,36980.0000,5920000.0000,6541402.5864,0.1532,0.1814,1271461.2960
Prahova,3. COMUNA,TATARU,708,52,0.0734,0.1173,1040.0000,621.3657,14160.0000,1040000.0000,1661365.7455,0.0832,0.1332,1239323.2700
Teleorman,3. COMUNA,DRAGANESTI-VLASCA,2120,178,0.0840,0.0985,3560.0000,616.7573,42400.0000,3560000.0000,4176757.2530,0.0847,0.1224,1708898.2913
Dambovita,3. COMUNA,PERSINARI,956,66,0.0690,0.1012,1320.0000,614.5541,19120.0000,1320000.0000,1934554.0936,0.0758,0.0974,1862588.7272
Braila,3. COMUNA,MIRCEA VODA,1415,58,0.0410,0.0627,1160.0000,614.3553,28300.0000,1160000.0000,1774355.3399,0.0450,0.0680,5021.3780
Bacau,3. COMUNA,TATARASTI,1116,63,0.0565,0.0838,1260.0000,611.4235,22320.0000,1260000.0000,1871423.5239,0.0645,0.0948,787512.6060
Prahova,3. COMUNA,POIENARII BURCHII,2395,332,0.1386,0.1514,6640.0000,610.0501,47900.0000,6640000.0000,7250050.1416,0.1318,0.1974,5408294.8766
Galati,3. COMUNA,INDEPENDENTA,1718,272,0.1583,0.1760,5440.0000,608.6328,34360.0000,5440000.0000,6048632.7991,0.1568,0.2239,1036.2593
Neamt,3. COMUNA,GHERAESTI,2341,234,0.1000,0.1129,4680.0000,606.0863,46820.0000,4680000.0000,5286086.3448,0.0939,0.1136,1760478.4217
Salaj,3. COMUNA,BALAN,1857,259,0.1395,0.1558,5180.0000,605.0966,37140.0000,5180000.0000,5785096.6165,0.1427,0.1637,0.0000
Satu Mare,3. COMUNA,ORASU NOU,1933,193,0.0998,0.1154,3860.0000,603.1064,38660.0000,3860000.0000,4463106.4493,0.0918,0.1116,0.0000
Dolj,3. COMUNA,VALEA STANCIULUI,2712,174,0.0642,0.0753,3480.0000,602.8370,54240.0000,3480000.0000,4082837.0368,0.0602,0.0753,1125717.1238
Prahova,3. COMUNA,VALEA DOFTANEI,2966,640,0.2158,0.2259,12800.0000,602.2175,59320.0000,12800000.0000,13402217.5229,0.2066,0.2446,9997605.9403
Botosani,3. COMUNA,SANTA MARE,1342,42,0.0313,0.0537,840.0000,601.3767,26840.0000,840000.0000,1441376.6530,0.0365,0.0615,320721.2131
Buzau,3. COMUNA,SAGEATA,2280,220,0.0965,0.1096,4400.0000,599.5163,45600.0000,4400000.0000,4999516.3139,0.0925,0.1150,0.0000
Neamt,3. COMUNA,VALENI,757,28,0.0370,0.0766,560.0000,599.3235,15140.0000,560000.0000,1159323.5287,0.0379,0.0755,386101.1574
Teleorman,3. COMUNA,CIOLANESTI,1768,68,0.0385,0.0554,1360.0000,599.2152,35360.0000,1360000.0000,1959215.2405,0.0428,0.0602,801602.6247
Gorj,3. COMUNA,VAGIULESTI,1188,56,0.0471,0.0723,1120.0000,598.9859,23760.0000,1120000.0000,1718985.8719,0.0559,0.0754,473757.6778
Prahova,3. COMUNA,STEFESTI,1032,102,0.0988,0.1277,2040.0000,596.1551,20640.0000,2040000.0000,2636155.1316,0.1039,0.1411,1966483.5433
